1.27	621.73	0.3052	2.6359	4.3216	0.3938	0.002042687
1.24	734.95	0.2696	2.5715	4.0109	0.3824	0.00168719
1.04	714.68	0.235	2.3898	3.4854	0.4209	0.001455197
1.34	634.07	0.3098	2.6561	4.4595	0.3929	0.002113331
1.57	753.05	0.3379	2.7503	4.6251	0.45	0.002084855
1.53	640.35	0.3333	2.6781	4.7822	0.4171	0.002389318
1.15	694.7	0.2648	2.529	3.9226	0.4057	0.001655391
1.5	613.43	0.3311	2.6572	4.706	0.3964	0.002445267
1.15	714.89	0.2568	2.5064	3.8367	0.3977	0.001608639
1.49	758.51	0.3208	2.7232	4.4669	0.4195	0.001964378
1.41	749.33	0.3025	2.6806	4.3411	0.3973	0.001881681
1.78	779.02	0.391	2.7996	4.7835	0.5741	0.002284922
1.43	612.17	0.3234	2.6603	4.5937	0.387	0.002335952
1.13	718.5	0.251	2.4804	3.7525	0.3993	0.001572721
1.19	668.19	0.2799	2.5766	4.0882	0.407	0.001780931
1.17	728.02	0.2563	2.5123	3.838	0.3888	0.001607099
1.53	703.46	0.3316	2.7213	4.7387	0.437	0.002174964
1.46	634.74	0.3252	2.6753	4.6822	0.4016	0.002300154
1.29	615.33	0.3088	2.6413	4.3535	0.3903	0.002096436
1.69	746.08	0.3644	2.7667	4.8241	0.5115	0.002265173
1.08	764.75	0.2218	2.3626	3.3326	0.3744	0.001412226
1.32	707.75	0.2923	2.6436	4.3222	0.3947	0.001865065
1.34	677.14	0.3014	2.658	4.434	0.3985	0.001978911
1.08	768.52	0.2203	2.3574	3.3086	0.371	0.001405298
1.02	634.05	0.2711	2.4783	3.6661	0.4591	0.001608706
1.66	602.24	0.3466	2.5967	4.8398	0.4288	0.002756376
1.47	759.69	0.3163	2.7142	4.4241	0.4127	0.001935
1.52	616.64	0.3329	2.6578	4.7361	0.4017	0.002464971
1.64	733.15	0.3525	2.7531	4.8062	0.4832	0.002236923
1.13	796.46	0.2215	2.3746	3.2562	0.3402	0.001418778
1.18	658.25	0.2826	2.5794	4.092	0.4091	0.001792632
1.2	602.4	0.3032	2.6102	4.1348	0.4021	0.001992032
1.11	604.53	0.2941	2.5663	3.9201	0.4273	0.001836137
1.06	666.08	0.2614	2.4771	3.7314	0.4372	0.0015914
1.48	670.05	0.3241	2.6963	4.703	0.4159	0.00220879
1.06	684.24	0.2535	2.4575	3.6865	0.43	0.001549164
1.47	645.77	0.3248	2.6823	4.6949	0.4067	0.002276352
1.39	615.6	0.319	2.6599	4.5368	0.3869	0.00225796
1.13	606.97	0.2949	2.5756	3.9709	0.4215	0.001861707
1.28	734.3	0.2765	2.5978	4.0984	0.3837	0.001743157
1.39	687.01	0.3072	2.6763	4.5103	0.4026	0.00202326
1.64	657.14	0.3476	2.6805	4.9154	0.4591	0.002495663
1.66	672.71	0.3524	2.694	4.9407	0.4772	0.002467631
1.14	720.6	0.2534	2.494	3.7919	0.3958	0.001582015
1.11	608.15	0.2925	2.5637	3.9203	0.428	0.001825208
1.79	732.76	0.3833	2.7451	4.9643	0.5708	0.002442819
1.49	603.19	0.3304	2.6498	4.6647	0.3879	0.0024702
1.73	627.1	0.3562	2.6058	4.9491	0.4771	0.002758731
1.35	628.22	0.3124	2.6579	4.4802	0.3911	0.002148929
1.61	622.56	0.3428	2.6444	4.8498	0.4287	0.002586096
1.52	629.98	0.3328	2.6696	4.7627	0.4102	0.002412775
1.12	774.2	0.2269	2.3941	3.3894	0.3616	0.001446655
1.7	624.22	0.3522	2.6158	4.9227	0.4608	0.002723399
1.09	662.6	0.2673	2.5064	3.8267	0.4295	0.001645035
1.03	680.5	0.2496	2.4283	3.5912	0.4421	0.001513593
1.58	636.21	0.3396	2.6676	4.8401	0.4284	0.002483457
1.61	724.77	0.346	2.7442	4.7921	0.4682	0.002221394
1.69	775.39	0.3677	2.7892	4.6954	0.5117	0.002179548
1.64	763.57	0.3559	2.7738	4.6924	0.4864	0.002147806
1.12	748.79	0.2378	2.435	3.5704	0.3813	0.001495746
1.75	775.09	0.3821	2.795	4.7678	0.5503	0.002257802
1.53	626.57	0.3333	2.6662	4.7618	0.409	0.002441866
1.37	745.08	0.2938	2.656	4.267	0.3899	0.001838729
1.38	664.77	0.3106	2.674	4.5415	0.4007	0.002075906
1.73	687.05	0.3655	2.6959	4.9981	0.5198	0.002518012
1.58	632.07	0.3388	2.6643	4.8276	0.4241	0.002499723
1.22	661.34	0.2863	2.5983	4.1711	0.4039	0.001844739
1.47	742.64	0.3173	2.7137	4.5029	0.4163	0.001979425
1.25	772.56	0.2601	2.5415	3.8048	0.3612	0.001617997
1.79	772.97	0.3927	2.7929	4.8236	0.5825	0.002315743
1.15	625.01	0.2904	2.5788	4.0352	0.4167	0.001839971
1.66	627.14	0.3482	2.6355	4.9	0.4479	0.002646937
1.39	614.12	0.3194	2.6594	4.5379	0.3863	0.002263401
1.44	773.85	0.3074	2.6943	4.2789	0.3975	0.001860826
1.49	751.77	0.3209	2.7223	4.4971	0.4206	0.001981989
1.14	619.58	0.291	2.5745	4.0024	0.4198	0.001839956
1.6	700.91	0.3439	2.7264	4.8413	0.4615	0.002282747
1.27	692.81	0.2868	2.6197	4.2499	0.3959	0.001833114
1.56	694.54	0.3367	2.7196	4.7973	0.4448	0.002246091
1.75	716.17	0.3742	2.7294	4.9779	0.5455	0.002443554
1.29	667.81	0.2952	2.6349	4.3314	0.398	0.001931687
1.37	622.04	0.316	2.6602	4.5138	0.3891	0.002202431
1.23	785.55	0.2525	2.512	3.6692	0.3508	0.001565782
1.77	649.15	0.3654	2.6211	5.013	0.5184	0.002726643
1.79	607.3	0.3597	2.5304	4.922	0.4903	0.002947472
1.45	739.37	0.3135	2.7052	4.4802	0.4114	0.001961129
1.55	763.97	0.3331	2.7463	4.5375	0.4392	0.002028875
1.06	700.7	0.2451	2.4307	3.6093	0.4238	0.001512773
1.56	687.52	0.3362	2.7146	4.8041	0.4421	0.002269025
1.72	674.19	0.3623	2.6804	4.9963	0.5084	0.00255121
1.2	607.47	0.3014	2.6084	4.1372	0.4035	0.001975406
1.16	664.15	0.2776	2.562	4.0295	0.4119	0.001746593
1.75	692.74	0.3701	2.6978	5.0105	0.5349	0.0025262
1.64	719.04	0.3513	2.7421	4.8454	0.4805	0.002280819
1.36	700.18	0.3009	2.6655	4.43	0.3993	0.001942358
1.79	666.16	0.3706	2.644	5.036	0.5388	0.002687042
1.75	687.47	0.3693	2.6901	5.0146	0.5325	0.002545566
1.43	756.91	0.307	2.6926	4.3536	0.401	0.00188926
1.13	630.25	0.2864	2.5652	3.989	0.4214	0.001792939
1.44	712.65	0.313	2.6975	4.5466	0.4108	0.002020627
1.68	609.96	0.349	2.6004	4.8757	0.4423	0.002754279
1.66	751.49	0.3581	2.7683	4.7647	0.4945	0.002208945
1.44	653.35	0.3196	2.6824	4.6416	0.4041	0.002204025
1.2	687.65	0.2763	2.5757	4.0871	0.4009	0.001745074
1.52	674.57	0.3307	2.7036	4.7672	0.4278	0.002253287
1.36	674.77	0.3058	2.6682	4.4898	0.4	0.002015502
1.46	623.05	0.3254	2.6675	4.6573	0.3952	0.002343311
1.68	701.28	0.3586	2.7232	4.9361	0.499	0.002395619
1.12	716.91	0.2497	2.4727	3.7305	0.4017	0.00156226
1.02	752.8	0.2138	2.3089	3.216	0.3961	0.001354942
1.6	740.81	0.344	2.7519	4.7203	0.4635	0.002159798
1.76	714.49	0.3755	2.7254	4.9881	0.5502	0.002463295
1.14	661.83	0.2747	2.5452	3.9646	0.4175	0.001722497
1.35	611.35	0.3162	2.654	4.4703	0.3851	0.002208228
1.16	762.96	0.2407	2.4558	3.5926	0.3677	0.001520394
1.06	693.15	0.249	2.4435	3.6471	0.4268	0.001529251
1	635.51	0.2677	2.4581	3.5993	0.4677	0.001573539
1.46	795.36	0.31	2.6997	4.1789	0.3937	0.001835647
1.1	720.76	0.2458	2.4556	3.6751	0.4017	0.001526167
1.13	667.46	0.2722	2.5389	3.9473	0.4169	0.001692985
1.72	716.23	0.3669	2.7356	4.9435	0.5229	0.002401463
1.26	705.09	0.2811	2.6045	4.1776	0.3933	0.001787006
1.34	787.13	0.281	2.617	3.9645	0.3652	0.001702387
1.19	766.74	0.2476	2.4886	3.6735	0.3636	0.001552025
1.24	710.26	0.2767	2.5899	4.1184	0.392	0.00174584
1.66	693.57	0.3545	2.7171	4.927	0.487	0.002393414
1.56	740.52	0.3355	2.7426	4.6602	0.4465	0.002106628
1.63	738.53	0.3518	2.7564	4.7811	0.4811	0.002207087
1.38	654.01	0.3117	2.6707	4.54	0.3985	0.002110059
1.74	779.87	0.3811	2.7988	4.736	0.5453	0.002231141
1.51	763.56	0.3256	2.7332	4.4821	0.4263	0.001977579
1.56	653.06	0.3368	2.6871	4.8264	0.4308	0.002388754
1.62	682.73	0.3458	2.7105	4.885	0.4621	0.002372827
1.6	642.72	0.342	2.6714	4.8666	0.4377	0.00248942
1.17	771.17	0.2419	2.4641	3.5901	0.3607	0.001517175
1.18	723.58	0.2596	2.5247	3.8834	0.3903	0.00163078
1.47	782.37	0.3126	2.7069	4.2779	0.402	0.001878906
1.29	644.31	0.3016	2.6409	4.3631	0.3965	0.002002142
1.34	698.46	0.2964	2.6525	4.3765	0.397	0.001918506
1.09	692	0.2546	2.4737	3.7417	0.4197	0.001575145
1.18	774.24	0.242	2.4652	3.5828	0.3582	0.001524075
1.36	636.91	0.3118	2.6618	4.5005	0.3937	0.00213531
1.29	795.66	0.2658	2.5631	3.7663	0.35	0.001621296
1.62	662.26	0.3457	2.6891	4.8998	0.4556	0.002446169
1.06	654.32	0.266	2.4858	3.7414	0.4421	0.001620002
1.65	759.86	0.3572	2.7729	4.7194	0.4906	0.002171453
1.7	710.17	0.3634	2.7305	4.9419	0.5131	0.002393793
